,title,word count,l1,l2,l3,l4,l5,l6,l7,l8
https://colorcodedlyrics.com/loona-vivid,ViViD,262,0.061068702,0.091603053,0.13740458,0.190839695,0.232824427,0.255725191,0.27480916,0.286259542
https://colorcodedlyrics.com/loona-yves-d-1,D-1,255,0.098039216,0.133333333,0.184313725,0.282352941,0.31372549,0.37254902,0.4,0.4
https://colorcodedlyrics.com/loona-yves-new,new,181,0.138121547,0.220994475,0.298342541,0.320441989,0.342541436,0.359116022,0.364640884,0.38121547
https://colorcodedlyrics.com/lovelyz-1cm,1cm,244,0.073770492,0.155737705,0.204918033,0.274590164,0.307377049,0.348360656,0.348360656,0.352459016
https://colorcodedlyrics.com/lovelyz-ah-choo,Ah-choo,368,0.141304348,0.247282609,0.307065217,0.350543478,0.410326087,0.448369565,0.510869565,0.516304348
https://colorcodedlyrics.com/lovelyz-amusement-park-noligongwon,놀이공원,337,0.142433234,0.198813056,0.24925816,0.290801187,0.326409496,0.364985163,0.367952522,0.37388724
https://colorcodedlyrics.com/lovelyz-aya,Aya,341,0.117302053,0.184750733,0.231671554,0.26686217,0.296187683,0.331378299,0.346041056,0.346041056
https://colorcodedlyrics.com/lovelyz-bebe,BeBe,325,0.08,0.144615385,0.224615385,0.258461538,0.301538462,0.344615385,0.356923077,0.369230769
https://colorcodedlyrics.com/lovelyz-bookmark-chaeggalpi,Lovelyz &#8211; Bookmark (책갈피),300,0.106666667,0.213333333,0.293333333,0.33,0.34,0.39,0.413333333,0.42
https://colorcodedlyrics.com/lovelyz-cameo,Cameo,294,0.102040816,0.18707483,0.285714286,0.363945578,0.380952381,0.408163265,0.428571429,0.431972789
https://colorcodedlyrics.com/lovelyz-candy-jelly-love,Candy Jelly Love,381,0.125984252,0.207349081,0.244094488,0.304461942,0.338582677,0.372703412,0.393700787,0.396325459
https://colorcodedlyrics.com/lovelyz-circle,Circle,339,0.126843658,0.212389381,0.274336283,0.345132743,0.368731563,0.374631268,0.392330383,0.424778761
https://colorcodedlyrics.com/lovelyz-dear-you-maeum-chuigeupjuui,마음 (*취급주의),372,0.115591398,0.231182796,0.282258065,0.306451613,0.327956989,0.360215054,0.379032258,0.411290323
https://colorcodedlyrics.com/lovelyz-delight-jiae-solo,Delight,168,0.095238095,0.160714286,0.220238095,0.261904762,0.273809524,0.327380952,0.339285714,0.357142857
https://colorcodedlyrics.com/lovelyz-destiny,나의 지구,382,0.14921466,0.214659686,0.314136126,0.392670157,0.405759162,0.416230366,0.442408377,0.445026178
https://colorcodedlyrics.com/lovelyz-doll-inhyeong,인형,172,0.13372093,0.174418605,0.325581395,0.401162791,0.406976744,0.430232558,0.459302326,0.465116279
https://colorcodedlyrics.com/lovelyz-emotion,Emotion,322,0.192546584,0.257763975,0.285714286,0.338509317,0.366459627,0.456521739,0.465838509,0.468944099
https://colorcodedlyrics.com/lovelyz-fallin,FALLIN`,271,0.099630996,0.169741697,0.206642066,0.247232472,0.258302583,0.287822878,0.313653137,0.324723247
https://colorcodedlyrics.com/lovelyz-first-snow-cheosnun,첫눈,231,0.0995671,0.186147186,0.25974026,0.333333333,0.363636364,0.393939394,0.393939394,0.415584416
https://colorcodedlyrics.com/lovelyz-fondant,퐁당,264,0.068181818,0.136363636,0.193181818,0.261363636,0.284090909,0.299242424,0.306818182,0.306818182
https://colorcodedlyrics.com/lovelyz-for-you-geudaeege,그대에게,347,0.09221902,0.141210375,0.21037464,0.273775216,0.288184438,0.331412104,0.342939481,0.354466859
https://colorcodedlyrics.com/lovelyz-getaway-bimilyeohaeng,비밀여행,330,0.112121212,0.160606061,0.23030303,0.281818182,0.315151515,0.336363636,0.339393939,0.357575758
https://colorcodedlyrics.com/lovelyz-gone-neoman-eobsda-jin-solo,너만 없다,276,0.123188406,0.25,0.344202899,0.369565217,0.391304348,0.40942029,0.420289855,0.438405797
https://colorcodedlyrics.com/lovelyz-good-night-like-yesterday-eojecheoleom-gusnais,어제처럼 굿나잇,315,0.126984127,0.187301587,0.257142857,0.298412698,0.346031746,0.377777778,0.4,0.412698413
https://colorcodedlyrics.com/lovelyz-goodbye-chapter-1-ibyeol-chapter-1,이별 Chapter 1,332,0.135542169,0.186746988,0.271084337,0.319277108,0.373493976,0.436746988,0.442771084,0.463855422
https://colorcodedlyrics.com/lovelyz-hi-annyeong,안녕,330,0.106060606,0.166666667,0.218181818,0.281818182,0.336363636,0.363636364,0.381818182,0.424242424
https://colorcodedlyrics.com/lovelyz-hide-seek-sumbaggogjil,숨바꼭질,309,0.080906149,0.145631068,0.181229773,0.229773463,0.245954693,0.294498382,0.300970874,0.30420712
https://colorcodedlyrics.com/lovelyz-how-to-be-a-pretty-girl-yebbeun-yeojaga-doeneun-beob,예쁜 여자가 되는 법,324,0.117283951,0.25308642,0.317901235,0.37345679,0.37654321,0.391975309,0.413580247,0.413580247
https://colorcodedlyrics.com/lovelyz-hug-me,Hug Me,336,0.139880952,0.214285714,0.25297619,0.297619048,0.318452381,0.324404762,0.327380952,0.348214286
https://colorcodedlyrics.com/lovelyz-just-geunyang,그냥,331,0.084592145,0.166163142,0.208459215,0.256797583,0.277945619,0.341389728,0.341389728,0.344410876
https://colorcodedlyrics.com/lovelyz-knock-knock-ddogddog,똑똑,443,0.085778781,0.205417607,0.264108352,0.313769752,0.343115124,0.386004515,0.392776524,0.424379233
https://colorcodedlyrics.com/lovelyz-lee-mi-joo-amp-ryu-su-jeong-amp-jeong-ye,The,315,0.082539683,0.184126984,0.295238095,0.346031746,0.377777778,0.431746032,0.434920635,0.441269841
https://colorcodedlyrics.com/lovelyz-lover-naui-yeonin-yoo-ji-ae-seo-ji-soo,나의 연인,320,0.15625,0.20625,0.3125,0.325,0.33125,0.34375,0.44375,0.44375
https://colorcodedlyrics.com/lovelyz-lyrics,Lovelyz Index,22,0.045454545,0.045454545,0.090909091,0.136363636,0.136363636,0.136363636,0.181818182,0.181818182
https://colorcodedlyrics.com/lovelyz-miju-kei-jin-and-soojung-2015-putting-thick-lipstick-on-2015-libseutig-jitge-baleugo,2015 립스틱 짙게 바르고,277,0.090252708,0.158844765,0.259927798,0.306859206,0.339350181,0.397111913,0.397111913,0.397111913
https://colorcodedlyrics.com/lovelyz-morning-star-saebyeogbyeol-babysoul-kei-jin,새벽별,220,0.136363636,0.218181818,0.277272727,0.359090909,0.372727273,0.4,0.4,0.440909091
https://colorcodedlyrics.com/lovelyz-night-day,Night and Day,306,0.117647059,0.196078431,0.251633987,0.307189542,0.323529412,0.362745098,0.362745098,0.366013072
https://colorcodedlyrics.com/lovelyz-now-jigeum-uli,"지금, 우리",395,0.13164557,0.179746835,0.207594937,0.253164557,0.286075949,0.329113924,0.341772152,0.349367089
https://colorcodedlyrics.com/lovelyz-rapunzel-lapunjel,라푼젤,247,0.113360324,0.210526316,0.291497976,0.319838057,0.352226721,0.408906883,0.429149798,0.461538462
https://colorcodedlyrics.com/lovelyz-secret-garden-bimiljeongwon,비밀정원,385,0.135064935,0.155844156,0.215584416,0.262337662,0.285714286,0.316883117,0.324675325,0.324675325
